,Dataset,MAE,RMSE,r2,MAPE,Training Time
0,Train,111.63320003300588,150.39669219417823,0.5032638653004395,0.19365621368989036,17.86200499534607
1,Test,145.8433607387065,195.88698099600728,0.4153773456529636,0.246082046847715, 
