,Dataset,MAE,RMSE,r2,MAPE,Training Time
0,Train,73.53734419834048,105.34606723854864,0.3683008828984641,0.35589751716667817,11.236901760101318
1,Test,103.33458752113152,187.97844781241437,0.23509259237937885,0.47195803278514187, 
