,Dataset,MAE,RMSE,r2,MAPE,Training Time
0,Train,117.52589658087898,158.73049975743436,0.44668817505069736,0.19831120085253204,10.050449132919312
1,Test,158.19019015902302,218.0023595657209,0.2759194479279661,0.255744463203705, 
