,Dataset,MAE,RMSE,r2,MAPE,Training Time
0,Train,41.14100078795832,57.63823344940874,0.6401888812773737,0.14948240303866678,35.97427296638489
1,Test,36.859116809549974,52.701376232489025,0.512448509516181,0.13410557301482842, 
