,Dataset,MAE,RMSE,r2,MAPE,Training Time
0,Train,51.3390669750589,70.98296812354546,0.4542904341289785,0.19438322277173978,15.33618712425232
1,Test,42.34943147308001,57.557920415965015,0.42932567278732603,0.16453309576312272, 
