,Dataset,MAE,RMSE,r2,MAPE,Training Time
0,Train,147.7910015586025,208.65730810406566,0.5850889279508646,0.36484793494469064,24.067785024642944
1,Test,204.19380475576645,280.19355176477654,0.3780454487035778,0.43564816038072496, 
