,Dataset,MAE,RMSE,r2,MAPE,Training Time
0,Train,122.4328428693749,189.05280522048218,0.6593926027255805,0.3162364418458216,49.38681721687317
1,Test,131.51408414384272,210.99345023310264,0.6475090833029611,0.29349878806897683, 
