,Dataset,MAE,RMSE,r2,MAPE,Training Time
0,Train,130.94830138344435,196.44018025158707,0.6322535646121448,0.3262469077076318,36.791868925094604
1,Test,182.256934926685,268.0395552816343,0.4308324196964477,0.3564337454285806, 
