,Dataset,MAE,RMSE,r2,MAPE,Training Time
0,Train,122.55489678975633,166.74284840200963,0.38941853484279243,0.21286718489755452,3.577893018722534
1,Test,150.86694266519035,210.50241413697321,0.3248836027386467,0.23874139229006236, 
