,Dataset,MAE,RMSE,r2,MAPE,Training Time
0,Train,75.04726644554178,106.71471500758854,0.35178028851938004,0.36486274191772233,12.335125923156738
1,Test,103.50811603431819,189.12257574472017,0.22575306180779575,0.4764248575491567, 
