,Dataset,MAE,RMSE,r2,MAPE,Training Time
0,Train,78.36741246500154,110.7111755905304,0.30231957160899803,0.38502324811149974,8.410239934921265
1,Test,104.0166742215588,186.76185360069113,0.2449614957350692,0.49336504839448664, 
