,Dataset,MAE,RMSE,r2,MAPE,Training Time
0,Train,47.368409656477944,65.71249113173371,0.5323196542735373,0.17689848530662755,38.80685997009277
1,Test,41.706769082618294,56.36847922890304,0.45266807200670445,0.16219530123123668, 
