 ,Dataset,MAE,RMSE,r2,mape,prediction_step,Day
0,Train,110.01286053941159,176.91870077223328,0.7017123266563718,0.28672008730610377,240,10.0
1,Test,126.98134900557473,204.58632139674873,0.669619284028246,0.28714611762845776,240,10.0
