 ,Dataset,MAE,RMSE,r2,mape,prediction_step,Day
0,Train,131.91066107456592,187.98338568164266,0.6632351478621048,0.3312945640519116,240,10.0
1,Test,152.528813448924,222.03064813670107,0.6108765924413246,0.341280028754546,240,10.0
