 ,Dataset,MAE,RMSE,r2,mape,prediction_step,Day
0,Train,105.90327984867073,169.58877419744857,0.7259170462536176,0.264780673212823,240,10.0
1,Test,124.07725668179543,202.56391718919446,0.6761188470141879,0.263199803467859,240,10.0
